word,meaning
spicy,of pertaining to or containing spice.
modifies,to change part of.
becomes,to arrive come to a place.
progression,the act of moving from one thing to another.
projector,someone who devises or suggests a project a proposer or planner of something.
stiff,an average person usually male of no particular distinction skill or education often a working stiff or lucky stiff.
numerals,a symbol that is not a word and represents a number such as the arabic numerals 1 2 3 and the roman numerals i v x l.
schoolboy,a boy attending school.
vacuum,a region of space that contains no matter.
unable,not able lacking a certain ability.
strip,a long thin piece of land any long thin area.
adjective,grammar a word that modifies a noun or describes a nouns referent.
distribute,to divide into portions and dispense.
caused,to set off an event or action.
fundamental,usually in the plural a leading or primary principle rule law or article which serves as the groundwork of a system an essential part
medically,for medical purposes.
microscopic,of or relating to microscopes or microscopy microscopal
headstrong,determined to do as one pleases and not as others want.
froth,foam
difficulty,the state of being difficult or hard to do.
notably,focus as a pointed example in a notable manner.
catching,heading to capture overtake.
mathematical,of or relating to mathematics
excreted,to discharge material including waste products from a cell body or system.
shooting,to launch a projectile.
related,to tell in a descriptive way.
vary,alteration change.
syndrome,a recognizable pattern of signs symptoms andor behaviours especially of a disease or medical or psychological condition.
occurring,to happen or take place.
tall,possibly nonstandard someone or something that is tall.
monomer,a relatively small molecule which can be covalently bonded to other monomers to form a polymer.
injure,to wound or cause physical harm to a living creature.
knitting,to turn thread or yarn into a piece of fabric by forming loops that are pulled through each other. this can be done by hand with needles or by machine.
tapestry,a heavy woven cloth often with decorative pictorial designs normally hung on walls.
four,the digit or figure 4 an occurrence thereof.
despite,disdain contemptuous feelings hatred.
enumerating,to specify each member of a sequence individually in incrementing order.
cancel,a cancellation us nonstandard in some kinds of english.
arguments,a fact or statement used to support a proposition a reason.
ox,an adult castrated male of cattle b. taurus.
resistant,a person who resists especially a member of a resistance movement.
omitted,to leave out or exclude.
similar,that which is similar to or resembles something else as in quality form etc.
simile,a figure of speech in which one thing is compared to another in the case of english generally using like or as.
imbecile,a person with limited mental capacity who can perform tasks and think only like a young child in medical circles meaning a person who lacks the capacity to develop beyond the mental age of a normal five to sevenyearold child.
nature,the natural world that which consists of all things unaffected by or predating human technology production and design. compare ecosystem.
physics,a medicine or drug especially a cathartic or purgative.
prearrange,to arrange in advance.
forces,strength or energy of body or mind active power vigour might capacity of exercising an influence or producing an effect.
ability,suitableness.
drawn,to move or develop something.
visible,able to be seen.
forming,to assume a certain shape or visible structure.
thumb,the short thick digit of the hand that for humans has the most mobility and can be made to oppose moved to touch all of the other fingers.
overwhelm,the state or condition of being overwhelmed.
moon,the earths moon luna the sole natural satellite of the earth represented in astronomy and astrology by .
exemption,an act of exempting.
cream,the butterfatmilkfat part of milk which rises to the top this part when separated from the remainder.
collision,an instance of colliding.
males,one of the male masculine sex or gender.
produce,to yield make or manufacture to generate.
ones,the digit or figure 1.
irregular,a soldier who is not a member of an official military force and often does not follow regular army tactics
conspicuous,obvious or easy to notice.
transmits,to send or convey something from one person place or thing to another.
scattered,to cause to separate and go in different directions to disperse.
imposed,to establish or apply by authority.
disorder,absence of order state of not being arranged in an orderly manner.
exploration,the process of exploring.
help,action given to provide assistance aid.
l,litre liter
active,a person or thing that is acting or capable of acting.
triggering,to fire a weapon.
from,used to indicate source or provenance.
germinate,of a seed to begin to grow to sprout roots and leaves.
reveals,the outer side of a window or door frame the jamb.
spine,the series of bones situated at the back from the head to the pelvis of a person or from the head to the tail of an animal backbone vertebral column.
escape,the act of leaving a dangerous or unpleasant situation.
allowance,permission granting conceding or admitting
jazz,a musical art form rooted in west african cultural and musical expression and in the african american blues tradition with diverse influences over time commonly characterized by blue notes syncopation swing call and response polyrhythms and improvisation.
linked,to connect two or more things.
opposition,the action of opposing or of being in conflict.
embryo,in the reproductive cycle the stage after the fertilization of the egg that precedes the development into a fetus.
literature,the body of all written works.
communication,the act or fact of communicating anything transmission.
looks,ones appearance or attractiveness.
colored,to give something color.
rapidly,with speed in a rapid manner.
meets,a sports competition especially for track and field a track meet or swimming a swim meet.
intelligible,capable of being understood clear to the mind.
owed,to be under an obligation to give something back to someone or to perform some action for someone.
petty,usually in the plural a little schoolboy either in grade or size.
superfamily,a taxonomic category above family and below order and its subdivisions.
disturb,disturbance
bone,a composite material consisting largely of calcium phosphate and collagen and making up the skeleton of most vertebrates.
ropes,thick strings yarn monofilaments metal wires or strands of other cordage that are twisted together to form a stronger line.
new,things that are new.
gun,a device for projecting a hard object very forcefully a firearm or cannon.
inclinations,a physical tilt or bend.
persistence,the property of being persistent.
wide,a ball that passes so far from the batsman that the umpire deems it unplayable the arm signal used by an umpire to signal a wide the extra run added to the batting sides score
generalized,to speak in generalities or in vague terms.
packing,physical to put or bring things together in a limited or confined space especially for storage or transport.
lodging,to be firmly fixed in a specified position.
supplied,to provide something to make something available for use.
hostile,chiefly in the plural an enemy.
cultures,the arts customs lifestyles background and habits that characterize a particular society or nation.
swimming,the act or art of sustaining and propelling the body in water.
identifies,to establish the identity of someone or something.
battle,a contest a struggle.
stapled,to sort according to its staple.
inherit,to take possession of as a right especially in biblical translations.
archived,to put into an archive.
lake,a small stream of running water a channel for water a drain.
coin,money a piece of currency usually metallic and in the shape of a disc but sometimes polygonal or with a hole in the middle.
foam,a substance composed of a large collection of bubbles or their solidified remains.
earth,the third planet of the solar system the world upon which humans live.
transported,to carry or bear from one place to another to remove to convey.
parties,a person or group of people constituting a particular side in a contract or legal action.
quarrel,a verbal dispute or heated argument.
secures,to make safe to relieve from apprehensions of or exposure to danger to guard to protect.
italics,a typeface in which the letters slant to the right.
marked,having a visible or identifying mark.
discretion,the quality of being discreet or circumspect.
dispossess,to deprive someone of the possession of land especially by evicting them.
died,to stop living to become dead to undergo death.
chart,a map.
guilty,a plea by a defendant who does not contest a charge.
century,a period of 100 consecutive years often specifically a numbered period with conventional start and end dates e.g. the twentieth century which stretches from strictly 1901 through 2000 or informally 1900 through 1999. the first century ad was from 1 to 100.
restraint,something that restrains ties fastens or secures
separation,the act of disuniting two or more things or the condition of being separated.
crickets,an insect in the order orthoptera especially family gryllidae that makes a chirping sound by rubbing its wing casings against combs on its hind legs.
deviant,a person who deviates especially from norms of social behavior.
disrespect,a lack of respect esteem or courteous behaviour.
greasy,having a slippery surface having a surface covered with grease.
difficult,to make difficult to impede to perplex.
heavier,of a physical object having great weight.
at,to reply to or talk to someone either online or facetoface. from the practice of targeting a message or reply to someone online by writing name
identity,sameness identicalness the quality or fact of several specified things being the same.
precisely,manner in a precise manner exactly.
expressed,to convey or communicate to make known or explicit.
slope,an area of ground that tends evenly upward or downward.
etymology,the study of the historical development of languages particularly as manifested in individual words.
aloud,spoken out loud.
parishes,in the anglican eastern orthodox lutheran and roman catholic church an administrative part of a diocese that has its own church.
abounding,to be full to overflowing.
features,ones structure or makeup form shape bodily proportions.
longstanding,having existed for a long time.
contend,to strive in opposition to contest to dispute to vie to quarrel to fight.
day,any period of 24 hours.
foil,a very thin sheet of metal.
pretend,to claim to allege especially when falsely or as a form of deliberate deception.
feeling,heading to use or experience the sense of touch.
fever,a higher than normal body temperature of a person or generally a mammal usually caused by disease.
failure,state or condition of not meeting a desirable or intended objective opposite of success.
stabilizing,to make stable.
involve,to roll or fold up to wind round to entwine.
hemp,a tall annual herb cannabis sativa native to asia.
joints,the point where two components of a structure join but are still able to rotate.
kind,a type race or category a group of entities that have common characteristics such that they may be grouped together.
reduction,the act process or result of reducing.
eminent,high lofty.
friendly,a game which is of no consequence in terms of ranking betting etc.
bunches,a group of similar things either growing together or in a cluster or clump usually fastened together.
theatrical,a stage performance especially one by amateurs.
relative,someone in the same family someone connected by blood marriage or adoption.
slippery,of a surface having low friction often due to being covered in a nonviscous liquid and therefore hard to grip hard to stand on without falling etc.
lieutenant,the lowest junior commissioned officer ranks in many military forces often army and marines.
sails,a piece of fabric attached to a boat and arranged such that it causes the wind to drive the boat along. the sail may be attached to the boat via a combination of mast spars and ropes.
veneration,the act of venerating or the state of being venerated.
auricle,the outer ear or pinna.
sincere,genuine meaning what one says or does heartfelt.
electrical,an electrical engineer.
reactions,an action or statement in response to a stimulus or other event.
actor,a person who performs plays a part in a theatrical play or film.
grade,a rating.
fish,a coldblooded vertebrate animal that lives in water moving with the help of fins and breathing with gills.
pierce,to puncture to break through
papers,a sheet material used for writing on or printing on or as a nonwaterproof container usually made by draining cellulose fibres from a suspension in water.
principal,the money originally invested or loaned on which basis interest and returns are calculated.
egg,an approximately spherical or ellipsoidal body produced by birds reptiles insects and other animals housing the embryo during its development.
odorless,having no odor.
flesh,the soft tissue of the body especially muscle and fat.
disturbing,to confuse a quiet constant state or a calm continuous flow in particular thoughts actions or liquids.
rowing,to propel a boat or other craft over water using oars.
supporting,to keep from falling.
church,a christian house of worship a building where christian religious services take place.
reciprocal,the number obtained by dividing 1 by another given number the result of exchanging the numerator and the denominator of a fraction.
typical,anything that is typical normal or standard.
weaving,to form something by passing lengths or strands of material over and under one another.
gray,an achromatic colour intermediate between black and white.
resides,to dwell permanently or for a considerable time to have a settled abode for a time to remain for a long time.
puff,the product of flatulence or the sound of breaking wind.
repeatedly,done several times or in repetition.
hooves,the tip of a toe of an ungulate such as a horse ox or deer strengthened by a thick keratin covering.
covered,to place something over or upon as to conceal or protect.
badness,the quality or degree of being bad.
preceding,to go before go in front of.
offered,to propose or express ones willingness to do something.
vibrant,pulsing with energy or activity.
reason,a cause
vapour,cloudy diffused matter such as mist steam or fumes suspended in the air.
eliminating,to completely remove get rid of put an end to.
error,the state quality or condition of being wrong.
assumption,the act of assuming or taking to or upon oneself the act of taking up or adopting.
romantic,of or dealing with languages or cultures derived from roman influence and latin italian french portuguese spanish romanian catalan occitan corsican etc.
bearer,one who or that which bears sustains or carries.
swiftness,the state of being swift.
by,a flying insect of the clade anthophila within the hymenopteran superfamily apoidea known for its organised societies though only a minority have them for collecting pollen and in some species producing wax and honey.
moved,to change place or posture to go in any manner from one place or position to another.
bivalve,any mollusc belonging to the taxonomic class bivalvia characterized by a shell consisting of two hinged sections such as a scallop clam mussel or oyster.
performed,to do something to execute.
invite,to ask for the presence or participation of someone or something.
pommel,the upper front brow of a saddle.
enables,to make somebody able to do or to be something to give sufficient ability or power to do or to be to give strength or ability to.
hauling,to transport by drawing or pulling as with horses or oxen or a motor vehicle.
shaving,to make bald or shorter by using a tool such as a razor or pair of electric clippers to cut the hair close to the skin.
inelastic,lacking elasticity inflexible unyielding
contingent,an event which may or may not happen that which is unforeseen undetermined or dependent on something future.
confrontation,the act of confronting or challenging another especially face to face.
conventionally,ordinarily by convention.
forcefully,with either physical of coercive force in a forceful manner vigorously powerfully.
potassium,a soft waxy silvery reactive metal that is never found unbound in nature an element symbol k with an atomic number of 19 and atomic weight of 39.0983. the symbol is derived from the latin kalium.
world,with the human collective existence existence in general.
division,the act or process of dividing anything.
colder,of a thing having a low temperature.
substitution,the act of substituting or the state of being substituted.
outdoor,in some african communities to publicly display a child after it has been named
chasm,a deep steepsided rift gap or fissure a gorge or abyss.
seacoasts,the coastal land bordering a sea or ocean
straightedge,a flat rectangular tool used to draw cut or check the straightness of straight lines.
standards,a principle or example or measure used for comparison.
comparisons,the act of comparing or the state or process of being compared.
nodes,a knot knob protuberance or swelling.
activated,to encourage development or induce increased activity to stimulate.
undivided,unified whole
piled,often used with the preposition up to lay or throw into a pile or heap to heap up to collect into a mass to accumulate
obtaining,to get hold of to gain possession of to procure to acquire in any way.
payable,in the plural debts owed by a business liabilities.
cluster,a group or bunch of several discrete items that are close to each other.
citizenship,the status of being a citizen in its various senses.
districts,an administrative division of an area.
baking,with person as subject to cook something in an oven.
actions,something done so as to accomplish a purpose.
regarded,to look at to observe.
counting,to recite numbers in sequence.
generate,to bring into being give rise to.
inclusion,an addition or annex to a group set or total.
measure,a prescribed quantity or extent.
travellers,a member of a particular nomadic ethnic minority in ireland the pavee.
increasing,of a quantity etc. to become larger or greater.
learning,to acquire or attempt to acquire knowledge or an ability to do something.
site,sorrow grief.
deciduous,describing a part that falls off or is shed at a particular time or stage of development.
satisfaction,a fulfilment of a need or desire.
destroyed,to damage beyond use or repair.
characteristics,a distinguishing feature of a person or thing.
instructions,the act of instructing teaching or furnishing with information or knowledge.
deprecated,to belittle or express disapproval of.
promotes,to raise someone to a more important responsible or remunerative job or rank.
stallion,an adult male horse.
behaves,to conduct oneself well or in a given way.
administrative,of or relating to administering or administration.
arrays,clothing and ornamentation.
perform,to do something to execute.
microspores,the smaller of the two spores produced by plants compare megaspore.
freedom,the state of being free of not being imprisoned or enslaved.
period,a length of time.
options,one of a set of choices that can be made.
consequence,that which follows something on which it depends that which is produced by a cause.
river,a large and often winding stream which drains a land mass carrying water down from higher areas to a lower point oftentimes ending in another body of water such as an ocean or in an inland sea.
integer,a number that is not a fraction an element of the infinite and numerable set ... 3 2 1 0 1 2 3 ....
animals,in scientific usage a multicellular organism that is usually mobile whose cells are not encased in a rigid cell wall distinguishing it from plants and fungi and which derives energy solely from the consumption of other organisms distinguishing it from plants.
passports,an official document normally used for international journeys which proves the identity and nationality of the person for whom it was issued.
rejected,to refuse to accept.
interrogating,to question or quiz especially in a thorough andor aggressive manner
killing,to put to death to extinguish the life of.
hypertext,digital text in which the reader may navigate related information through embedded hyperlinks.
primarily,focus of a primary or central nature first and foremost
visually,by means of sight.
forward,one of the eight players comprising two props one hooker two locks two flankers and one number eight collectively known as the pack whose primary task is to gain and maintain possession of the ball compare back.
western,a film or some other dramatic work set in the historic c. 18501910 american west west of the mississippi river focusing on conflict between whites and indians lawmen and outlaws ranchers and farmers or industry railroads mining and agriculture.
imply,of a proposition to have as a necessary consequence
impression,the indentation or depression made by the pressure of one object on or into another.
wellbeing,a state of health happiness andor prosperity.
progressing,to move go or proceed forward to advance.
this,something being indicated that is here one of these.
movement,physical motion between points in space.
human,a human being whether man woman or child.
inboard,an engine located within the hull of a ship
states,a condition a set of circumstances applying at any given time.
detracts,to take away to withdraw or remove.
constituting,to set up to establish to enact.
healing,the process where the cells in the body regenerate and repair themselves.
single,a 45 rpm vinyl record with one song on side a and one on side b.
baby,a very young human particularly from birth to a couple of years old or until walking is fully mastered.
requires,to ask someone for something to request.
noted,to notice with care to observe to remark to heed.
page,one of the many pieces of paper bound together within a book or similar document.
depending,followed by on or upon formerly also by of to be contingent or conditioned to have something as a necessary condition to hinge on.
voice,sound uttered by the mouth especially by human beings in speech or song sound thus uttered considered as possessing some special quality or character
v,a shape resembling the letter v
g,a gangster gangsta.
surgical,of relating to used in or resulting from surgery.
higher,very elevated extending or being far above a base tall lofty.
permanently,in a permanent manner lastingly.
rouses,an arousal.
appealing,to call upon another to decide a question controverted to corroborate a statement to vindicate ones rights etc.
curdling,to form curds so that it no longer flows smoothly to cause to form such curds. usually said of milk
cancellation,the act process or result of cancelling as the cancellation of certain words in a contract or of the contract itself.
sick,sick people in general as a group.
unlucky,unfortunate marked by misfortune.
postponement,a delay as a formal delay in a proceeding.
torso,the main part of the human body that extends from the neck to the groin excluding the head and limbs.
impurities,the condition of being impure because of contamination pollution adulteration or insufficient purification.
union,the act of uniting or joining two or more things into one.
observance,the practice of complying with a law custom command or rule.
silence,the absence of any sound.
foreigner,a person from a foreign country.
life,the state of organisms preceding their death characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects the state of being alive and living.
arising,to come up from a lower to a higher position.
curds,the part of milk that coagulates when it sours or is treated with enzymes used to make cottage cheese dahi etc.
soluble,able to be dissolved.
actively,in an active manner.
shift,a modifier key whose main function is shifting between two or more functions of any of certain other keys usually by pressing shift and the other button simultaneously.
months,a period into which a year is divided historically based on the phases of the moon.
habit,an action performed on a regular basis.
obscure,to render obscure to darken to make dim to keep in the dark to hide to make less visible intelligible legible glorious beautiful or illustrious.
general,a general fact or proposition a generality.
hipbone,one of two roughly symmetrical skeleton parts each composed of the fused iliac ischial and pubic bones that together form the sides of the pelvis.
petition,a formal written request made to an official person or organized body often containing many signatures.
fail,poor quality substandard workmanship.
full,containing the maximum possible amount that can fit in the space available.
curl,a piece or lock of curling hair a ringlet.
replaceable,anything that can be replaced.
honorarium,compensation for services that do not have a predetermined value.
encourage,to mentally support to motivate give courage hope or spirit.
grams,a photograph or video shared on this service.
deeply,at depth in a deep way.
sew,to use a needle to pass thread repeatedly through pieces of fabric in order to join them together.
moves,the act of moving a movement.
up,the direction opposed to the pull of gravity.
nipple,the projection of a mammary gland from which on female mammals milk is secreted.
magic,the application of rituals or actions especially those based on occult knowledge to subdue or manipulate natural or supernatural beings and forces in order to have some benefit from them
periodic,relative to a period or periods.
ratifying,to give formal consent to make officially valid sign off on.
manmade,created by people as opposed to occurring in nature artificial or synthetic.
outward,outer located towards the outside
decreasing,of a quantity to become smaller.
follow,sometimes attributive in billiards and similar games a stroke causing a ball to follow another ball after hitting it.
enthusiasm,possession by a god divine inspiration or frenzy.
breast,either of the two organs on the front of a female humans chest which contain the mammary glands also the analogous organs in males.
hind,located at the rear most often said of animals body parts.
skins,the outer protective layer of the body of any animal including of a human.
characters,a being involved in the action of a story.
drinks,to consume a liquid through the mouth.
solo,a piece of music for one performer.
twelve,a group of twelve items.
absorb,to include so that it no longer has separate existence to overwhelm to cause to disappear as if by swallowing up to incorporate to assimilate to take in and use up.
purchase,the acquisition of title to or property in anything for a price buying for money or its equivalent.
generally,popularly or widely.
nonverbal,a sound gesture etc. that is not a word.
counterclockwise,moving or located in the direction of rotation opposite from clockwise.
plughole,the hole at the bottom of a bath sink or tub which can be blocked using a plug a drain us
fasten,to attach or connect in a secure manner.
contemptuous,showing contempt expressing disdain showing a lack of respect.
insect,an arthropod in the class insecta characterized by six legs up to four wings and a chitinous exoskeleton.
fought,to contend in physical conflict either singly or in war battle etc.
conceal,to hide something from view or from public knowledge to try to keep something secret.
density,a measure of the mass of matter contained by a unit volume.
c,abbreviation of circa.
pope,an honorary title of the roman catholic bishop of rome as father and head of his church a sovereign of the vatican city state.
convenient,serving to reduce a difficulty or accessible with minimum difficulty expedient.
nomadic,of or relating to nomads whether
round,so as to form a circle or trace a circular path or approximation thereof.
articulation,a joint or the collection of joints at which something is articulated or hinged for bending.
particulars,a small individual part of something larger a detail a point.
web,the world wide web.
ascending,to move upward to fly to soar.
enjoying,to receive pleasure or satisfaction from something
tv,the assessed value of an asset from which the tax owing is computed.
evolved,to move in regular procession through a system.
entities,that which has a distinct existence as an individual unit. often used for organisations which have no physical form.
waters,a substance of molecular formula h₂o found at room temperature and pressure as a clear liquid it is present naturally as rain and found in rivers lakes and seas its solid form is ice and its gaseous form is steam.
combat,a battle a fight often one in which weapons are used.
cetacea,whalelike mammals.
magical,of or relating to magic.
furnish,material used to create an engineered product.
sell,an act of selling.
adjusts,to modify.
offering,to propose or express ones willingness to do something.
horizontally,in a horizontal direction or position.
imprecise,not precise or exact containing some error or uncertainty
smallness,the state or quality of being small.
workmanship,the skill of an artisan or craftsman.
made,a grub or maggot.
tendon,a tough band of inelastic fibrous tissue that connects a muscle with its bony attachment.
bonds,evidence of a longterm debt by which the bond issuer the borrower is obliged to pay interest when due and repay the principal at maturity as specified on the face of the bond certificate. the rights of the holder are specified in the bond indenture which contains the legal terms and conditions under which the bond was issued. bonds are available in two forms registered bonds and bearer bonds.
oxygenates,to treat or infuse with oxygen
devices,any piece of equipment made for a particular purpose especially a mechanical or electrical one.
collagen,any of more than 28 types of glycoprotein that form elongated fibers usually found in the extracellular matrix of connective tissue.
core,the central part of fruit containing the kernels or seeds.
center,the point in the interior of a circle that is equidistant from all points on the circumference.
citrus,any of several shrubs or trees of the genus citrus in the family rutaceae.
determined,to set the boundaries or limits of.
explosive,any explosive substance.
substituting,to use in place of something else with the same function.
scent,a distinctive odour or smell.
emotions,a persons internal state of being and involuntary physiological response to an object or a situation based on or tied to physical state and sensory data.
functional,a function that takes a function as its argument more precisely a function yfx whose argument x varies in a space of real valued complex valued functions and whose value belongs to a monodimensional space. an example the definite integration of integrable real functions in a real interval.
liberal,one with liberal views supporting individual liberty see wikipedias article on liberalism.
act,something done a deed.
paved,to cover something with paving slabs.
discussion,conversation or debate concerning a particular topic.
weapons,an instrument of attack or defense in combat or hunting e.g. most guns missiles or swords.
interconnected,to connect to one another.
dissolves,a form of film punctuation in which there is a gradual transition from one scene to the next
ostrich,a large flightless bird struthio camelus native to africa.
aquatic,any aquatic plant.
stores,a place where items may be accumulated or routinely kept.
capacity,the ability to hold receive or absorb
cooked,to prepare food for eating by heating it often by combining it with other ingredients.
trunk,heading biological part of a body.
continued,to proceed with doing an activity to prolong an activity.
gossip,someone who likes to talk about other peoples private or personal business.
examine,to observe or inspect carefully or critically
prudence,the quality or state of being prudent wisdom in the way of caution and provision discretion carefulness hence also economy frugality.
destined,to preordain
like,usually in the plural something that a person likes prefers.
trouble,a distressing or dangerous situation.
final,a final examination a test or examination given at the end of a term or class the test that concludes a class.
i.e.,initialism that is namely in other words that is to say.
scored,to cut a notch or a groove in a surface.
biological,a biological product.
alive,having life living not dead
annoyed,to disturb or irritate especially by continued or repeated acts to bother with unpleasant deeds.
hammers,a tool with a heavy head and a handle used for pounding.
grueling,racing a race in which the animal being raced finishes in a state of physical exhaustion.
constitute,an established law.
couple,two partners in a romantic or sexual relationship.
consequences,that which follows something on which it depends that which is produced by a cause.
sets,to put something down to rest.
monitors,someone who watches over something a person in charge of something or someone.
associate,a person united with another or others in an act enterprise or business a partner.
locating,to place to set in a particular spot or position.
unpleasant,not pleasant.
docile,ready to accept instruction or direction obedient subservient.
spasmodic,a medicine for suppressing spasms.
claim,a demand of ownership made for something.
written,to form letters words or symbols on a surface in order to communicate.
official,an office holder invested with powers and authorities.
relaxing,to calm down.
extending,to increase in extent.
fame,what is said or reported gossip rumour.
mutual,a mutual fund.
rite,a religious custom.
injury,damage to the body of a human or animal.
restlessness,the state or condition of being restless an inability to be still quiet at peace or comfortable.
ready,ready money cash
orifice,a mouth or aperture such as of a tube pipe etc. an opening.
render,stucco or plaster applied to walls mostly to outside masonry walls.
reduced,to bring down the size quantity quality value or intensity of something to diminish to lower.
post,a long dowel or plank protruding from the ground a fencepost a lightpost.
ring,physical a solid object in the shape of a circle.
speech,the faculty of uttering articulate sounds or words the ability to speak or to use vocalizations to communicate.
hereditary,a hereditary ruler a hereditary peer in the house of lords.
flavored,to add flavoring to something.
sadness,the state or emotion of being sad.
faint,the act of fainting syncope.
cognition,the process of knowing of acquiring knowledge and understanding through thought and through the senses.
principled,to equip with principles to establish or fix in certain principles to impress with any tenet or rule of conduct.
thereby,by it by that by that means or as a consequence of that.
connected,of an object to join to another object to attach or to be intended to attach or capable of attaching to another object.
arriving,to reach to get to a certain place.
treat,an entertainment outing food drink or other indulgence provided by someone for the enjoyment of others.
numerical,of or pertaining to numbers
attempt,the action of trying at something.
belonging,to have its proper place.
anaerobic,without oxygen especially of an environment or organism.
exactly,manner without approximation precisely.
magnets,a piece of material that attracts some metals by magnetism.
virtually,almost but not quite.
showing,to display to have somebody see something.
pneumonitis,inflammation of the tissue of the lungs.
occupancy,the act of occupying the state of being occupied or the state of being an occupant or tenant.
laws,the body of binding rules and regulations customs and standards established in a community by its legislative and judicial authorities.
usage,the manner or the amount of using use.
crossword,games puzzles a word puzzle in which interlocking words are entered usually horizontally and vertically into a grid based on clues given for each word.
assures,to make sure and secure.
horse,any of several animals related to equus ferus caballus.
lowermost,lowest
teaching,something taught by a religious or philosophical authority.
efforts,the work involved in performing an activity exertion.
careless,not concerned or worried about.
bishops,an overseer of congregations either any such overseer generally speaking or in eastern orthodoxy catholicism anglicanism etc. an official in the church hierarchy actively or nominally governing a diocese supervising the churchs priests deacons and property in its territory.
detach,to take apart from to take off.
constructed,to build or form something by assembling parts.
fur,the hairy coat of various mammal species especially when fine soft and thick.
nonbinary,something which is not a binary executable computer file.
emergency,a situation which poses an immediate risk and which requires urgent attention.
quiet,the absence of sound quietness.
sheets,a thin bed cloth used as a covering for a mattress or as a layer over the sleeper.
soybeans,a legume plant glycine max commonly cultivated for human and animal consumption and as a nitrogenfixing ground cover.
examination,the act of examining.
ores,rock or other material that contains valuable or utilitarian materials primarily a rock containing metals or gems for which it is typically mined and processed.
verbal,grammar a verb form which does not function as a predicate or a word derived from a verb. in english infinitives participles and gerunds are verbals.
government,the body with the power to make andor enforce laws to control a country land area people or organization.
clearly,manner in a clear manner.
northeastern,of related to located in or from the northeast.
displeasure,a feeling of being displeased with something or someone dissatisfaction disapproval.
alga,any of many aquatic photosynthetic organisms including the seaweeds whose size ranges from a single cell to giant kelps and whose biochemistry and forms are very diverse some being eukaryotic.
snake,a legless reptile of the suborder serpentes with a long thin body and a forkshaped tongue.
distaste,a feeling of dislike aversion or antipathy.
lactose,the disaccharide sugar of milk and dairy products c12h22o11 a product of glucose and galactose used as a food and in medicinal compounds.
ahead,in or to the front in advance onward.
detachment,the action of detaching separation.
threats,an expression of intent to injure or punish another.
tasting,a small amount of food or drink.
delays,a period of time before an event occurs the act of delaying procrastination lingering inactivity.
fathers,a generally human male who begets a child.
tables,furniture with a top surface to accommodate a variety of uses.
sufficiently,manner in a sufficient manner enough.
mystics,someone who practices mysticism.
approximations,the act process or result of approximating.
nautical,relating to or involving ships or shipping or navigation or seamen.
cow,properly an adult female of the species bos taurus especially one that has calved.
situated,to place on or into a physical location.
wheezing,to breathe hard and with an audible piping or whistling sound as persons affected with asthma.
terminal,a building in an airport where passengers transfer from ground transportation to the facilities that allow them to board airplanes.
silky,a seal which can magically transform into a human by shedding its skin.
fa,a syllable used in solfège to represent the fourth note of a major scale.
craft,strength power might force .
stature,a person or animals natural height when standing upright.
swelling,to become bigger especially due to being engorged.
measurements,the act of measuring.
beet,beta vulgaris a plant with a swollen root which is eaten or used to make sugar.
keeps,the main tower of a castle or fortress located within the castle walls.
entirely,to the full or entire extent.
half,one of two usually roughly equal parts into which anything may be divided or considered as divided.
offence,the act of offending
staves,plural staffs or staves a long straight thick wooden rod or stick especially one used to assist in walking.
good,of people
dealing,to distribute among a number of recipients to give out as ones portion or share.
reflect,to bend back light etc. from a surface.
vigorously,with intense energy force or vigor
regulate,to dictate policy.
check,a situation in which the king is directly threatened by an opposing piece.
paw,the soft foot of a mammal or other animal generally a quadruped that has claws or nails comparable to a human hand or foot.
driver,one who drives something in any sense of the verb to drive.
zeal,the fervour or tireless devotion for a person cause or ideal and determination in its furtherance diligent enthusiasm powerful interest.
indulging,often followed by in to yield to a temptation or desire.
pastry,a baked food item made from flour and fat pastes such as pie crust also tarts bear claws napoleons puff pastries etc.
humiliating,to injure the dignity and selfrespect of.
hydroxyl,a univalent radical or functional group oh in organic chemistry present in alcohols phenols carboxylic acids and certain other classes of compounds.
smooth,something that is smooth or that goes smoothly and easily.
dyestuff,any soluble pigment used for dyeing the hair fabric etc.
vertex,the highest point of something.
cloth,a woven fabric such as used in dressing decorating cleaning or other practical use.
average,the arithmetic mean.
diverse,consisting of many different elements various.
destroys,to damage beyond use or repair.
predicate,grammar the part of the sentence or clause which states something about the subject or the object of the sentence.
resemblance,the quality or state of resembling
army,a large highly organized military force concerned mainly with ground rather than air or naval operations.
words,the smallest unit of language that has a particular meaning and can be expressed by itself the smallest discrete meaningful unit of language. contrast morpheme.
crustaceans,any arthropod of the subphylum crustacea including lobsters crabs shrimp barnacles and woodlice.
tax,money paid to the government other than for transactionspecific goods and services.
classes,a group collection category or set sharing characteristics or attributes.
shaping,to create or make.
consolidated,to combine into a single unit to group together or join.
spectres,a ghostly apparition a phantom.
mental,of or relating to the mind or an intellectual process.
intersecting,to cut into or between to cut or cross mutually to divide into parts.
trouble,a distressing or dangerous situation.
breaching,to make a breach in.
citation,an official summons or notice given to a person to appear.
symbolized,to be symbolic of to represent.
sensible,sensation sensibility.
punishing,to cause to suffer for crime or misconduct to administer disciplinary action.
self,one individuals personality character demeanor or disposition.
pollution,the desecration of something holy or sacred defilement profanation.
